Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
EU-20240906-0000,06/09/2024,07/09/2024,Second Class,CZ-9322,Petr Svoboda,Consumer,Czechia,Liberec,Liberec Region,46000,Central,P-77221,Technology,Phones,Smartphone X Lite,1370.88,8,0.1,87.85
EU-20250316-0001,16/03/2025,17/03/2025,Standard Class,CZ-6311,Anna Procházková,Consumer,Czechia,Hradec Králové,Hradec Králové Region,50002,West,P-93104,Technology,Copiers,Office Copier 3000,210.69,8,0.2,-26.56
EU-20250506-0002,06/05/2025,06/05/2025,Same Day,CZ-3047,Anna Procházková,Home Office,Czechia,Prague,Prague Region,11000,Central,P-12747,Furniture,Tables,Coffee Table Modern,933.6,6,0,350.22
EU-20230901-0003,01/09/2023,01/09/2023,First Class,CZ-4556,Eva Dvořáková,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,South,P-13890,Office Supplies,Storage,Plastic Storage Box,559.05,3,0,73.64
EU-20240123-0004,23/01/2024,23/01/2024,First Class,CZ-7235,Katerina Malá,Consumer,Czechia,Brno,South Moravian,60200,South,P-33483,Furniture,Chairs,Ergo Mesh Chair,3075.75,9,0,701.43
EU-20230725-0005,25/07/2023,25/07/2023,Standard Class,CZ-2585,Lukáš Černý,Corporate,Czechia,České Budějovice,South Bohemian,37001,West,P-79479,Technology,Accessories,Wireless Mouse,523.28,8,0,106.4
EU-20250210-0006,10/02/2025,15/02/2025,Second Class,CZ-1995,Lukáš Černý,Consumer,Czechia,Plzeň,Plzeň Region,30100,West,P-42606,Technology,Copiers,All-in-One Printer,2273.4,6,0,805.39
EU-20230909-0007,09/09/2023,09/09/2023,First Class,CZ-8869,Eva Dvořáková,Corporate,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-65591,Furniture,Bookcases,IKEA Billy Bookcase,3321.58,8,0.1,603.46
EU-20250302-0008,02/03/2025,03/03/2025,Second Class,CZ-9684,Anna Procházková,Home Office,Czechia,Liberec,Liberec Region,46000,West,P-48044,Office Supplies,Storage,Plastic Storage Box,761.47,2,0.1,61.16
EU-20240604-0009,04/06/2024,04/06/2024,First Class,CZ-3027,Jan Novak,Home Office,Czechia,Liberec,Liberec Region,46000,Central,P-12695,Furniture,Chairs,Executive Leather Chair,402.09,1,0,58.89
EU-20241105-0010,05/11/2024,07/11/2024,Second Class,CZ-7278,Katerina Malá,Consumer,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-18392,Furniture,Bookcases,OfficePro Bookcase,20.87,3,0.1,3.41
